# $코드 중 u32 인자를 가지는 것
17	416	3
19	142	2
20	2	0
21	16	0
25	176	4
36	259	2
37	472	4
38	4015	106
39	270	0
40	39	0
41	11	0
43	2	0
44	3	0
52	1065	7
55	2904	0
415	528	206
418	466	1
419	371	1
420	337	3
421	242	0
422	214	1
423	199	0
424	186	0
425	153	0
426	56	1
427	5	0
434	1445	0
435	912	0
436	669	0
437	304	0
438	234	0
439	230	0
440	173	0
441	319	0
442	100	0
443	7	0
452	517	0
454	217	0
458	219	2
460	751	0
472	11	2
478	264	12
479	4	0
1233	851	733
1234	134	21
1236	1294	267
1240	22	0
1243	25	0
1245	232	13
1248	2	1
1252	350	2
1253	65	0
1254	108	1
1255	438	79
1256	55	1
1257	158	0
1258	125	0
1259	103	3
1260	106	2
1261	109	1
1262	69	0
1263	42	0
1264	32	2
1265	34	0
1266	16	0
1267	8	0
1268	5	0
1269	4	0
1270	4	0
1271	2	0
1287	107	28
1288	87	13
1289	143	43
1290	1	0
1291	3	0
1292	2	0
1293	6	0
1294	5	0
1295	6	0
1296	8	0
1297	5	0
1298	3	0
1299	2	1
1300	3	0
1301	3	0
1302	2	0
1303	1	0
1305	7	0
1308	24	0
1311	663	0
1313	721	488
1314	1492	1256
1315	4	1
1316	42	16
1318	58	2
1319	27	7
1320	2	0
1322	52	2
1327	13	5
1329	2	0
1331	3	0
1337	7	0
1338	7	1
1339	5	0
1353	4	0
1354	5	1
1355	9	2
1357	2	0
1358	2	0
1364	11793	8549
1369	95	2
